Name,Cost,Type,Effect
Absorb,{W}{U}{U},Instant,Counter target spell. You gain 3 life.
Acclaimed Contender,{2}{W},Creature â€” Human Knight,"When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Act of Treason,{2}{R},Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)
Aerial Assault,{2}{W},Sorcery,Destroy target tapped creature. You gain 1 life for each creature you control with flying.
Aeromunculus,{1}{G}{U},Creature â€” Homunculus Mutant,"Flying {2}{G}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)"
Aether Gust,{1}{U},Instant,Choose target spell or permanent that's red or green. Its owner puts it on the top or bottom of their library.
Affectionate Indrik,{5}{G},Creature â€” Beast,"When Affectionate Indrik enters the battlefield, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)"
Agent of Treachery,{5}{U}{U},Creature â€” Human Rogue,"When Agent of Treachery enters the battlefield, gain control of target permanent. At the beginning of your end step, if you control three or more permanents you don't own, draw three cards."
Aggressive Mammoth,{3}{G}{G}{G},Creature â€” Elephant,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Other creatures you control have trample.
Agonizing Syphon,{3}{B},Sorcery,Agonizing Syphon deals 3 damage to any target and you gain 3 life.
Ahn-Crop Invader,{2}{R},Creature â€” Zombie Minotaur Warrior,"As long as it's your turn, Ahn-Crop Invader has first strike. {1}, Sacrifice another creature: Ahn-Crop Invader gets +2/+0 until end of turn."
Aid the Fallen,{1}{B},Sorcery,Choose one or both â€” â€¢ Return target creature card from your graveyard to your hand. â€¢ Return target planeswalker card from your graveyard to your hand.
Air Elemental,{3}{U}{U},Creature â€” Elemental,Flying
Ajani's Pridemate,{1}{W},Creature â€” Cat Soldier,"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate."
"Ajani, Inspiring Leader",{4}{W}{W},Legendary Planeswalker â€” Ajani,[+2]: You gain 2 life. Put two +1/+1 counters on up to one target creature. [âˆ’3]: Exile target creature. Its controller gains 2 life. [âˆ’10]: Creatures you control gain flying and double strike until end of turn.
"Ajani, Strength of the Pride",{2}{W}{W},Legendary Planeswalker â€” Ajani,"[+1]: You gain life equal to the number of creatures you control plus the number of planeswalkers you control. [âˆ’2]: Create a 2/2 white Cat Soldier creature token named Ajani's Pridemate with ""Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate."" [0]: If you have at least 15 life more than your starting life total, exile Ajani, Strength of the Pride and each artifact and creature your opponents control."
"Ajani, the Greathearted",{2}{G}{W},Legendary Planeswalker â€” Ajani,Creatures you control have vigilance. [+1]: You gain 3 life. [âˆ’2]: Put a +1/+1 counter on each creature you control and a loyalty counter on each other planeswalker you control.
"Alela, Artful Provocateur",{1}{W}{U}{B},Legendary Creature â€” Faerie Warlock,"Flying, deathtouch, lifelink Other creatures you control with flying get +1/+0. Whenever you cast an artifact or enchantment spell, create a 1/1 blue Faerie creature token with flying."
All That Glitters,{1}{W},Enchantment â€” Aura,Enchant creature Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.
Alter Fate,{1}{B},Sorcery â€” Adventure,Return target creature card from your graveyard to your hand. (Then exile this card. You may cast the creature later from exile.)
Amplifire,{2}{R}{R},Creature â€” Elemental,"At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order."
Ancestral Blade,{1}{W},Artifact â€” Equipment,"When Ancestral Blade enters the battlefield, create a 1/1 white Soldier creature token, then attach Ancestral Blade to it. Equipped creature gets +1/+1. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Angel of Grace,{3}{W}{W},Creature â€” Angel,"Flash Flying When Angel of Grace enters the battlefield, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead. {4}{W}{W}, Exile Angel of Grace from your graveyard: Your life total becomes 10."
Angel of Vitality,{2}{W},Creature â€” Angel,"Flying If you would gain life, you gain that much life plus 1 instead. Angel of Vitality gets +2/+2 as long as you have 25 or more life."
Angelic Exaltation,{3}{W},Enchantment,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control."
